iter	RMSE
0	1239.530974
1	824.5947079
2	593.4228897
3	462.3697297
4	397.5158839
5	367.307286
6	348.4251962
7	335.9598007
8	329.1734296
9	325.5040172
10	320.9347127
11	316.4873045
12	311.1450473
13	306.9583161
14	304.7110556
15	299.6543424
16	296.8486781
17	294.8379492
18	292.4462048
19	290.3386127
20	289.0608119
21	286.3735544
22	284.2434214
23	282.2488981
24	281.0030188
25	279.2221129
26	277.3997752
27	274.772557
28	272.9495108
29	270.0196821
30	268.2801665
31	266.2635119
32	265.3006236
33	264.3785027
34	263.1923535
35	262.0712448
36	260.8646065
37	258.5275958
38	257.8330488
39	256.5989957
40	255.8472766
41	254.8518851
42	254.1384581
43	252.5783405
44	251.6018632
45	250.8740462
46	249.4256511
47	248.5178651
48	247.8248281
49	247.2760112
50	246.4209447
51	246.0000057
52	245.1114627
53	244.6394615
54	243.5120828
55	242.9967736
56	242.4838808
57	241.6745321
58	240.9057765
59	240.3297238
60	239.7171839
61	239.1686331
62	238.5754209
63	238.0845921
64	237.5466787
65	236.91675
66	236.3602956
67	235.7437837
68	235.1542565
69	234.5431527
70	233.9370082
71	233.4123979
72	232.7541735
73	232.2770042
74	231.5469254
75	231.0740512
76	230.5730068
77	230.097343
78	229.6274643
79	229.3568694
80	228.525589
81	228.0756189
82	227.734958
83	227.4860297
84	227.206145
85	226.343505
86	225.583544
87	225.1182912
88	224.5928014
89	224.1535144
90	223.7479788
91	223.0838135
92	222.6388516
93	222.4296384
94	221.9796621
95	221.4966829
96	221.1869802
97	221.0590223
98	220.6816371
99	220.263988
