iter	Passed	Remaining
0	10	1052
1	19	955
2	27	885
3	35	850
4	42	802
5	50	786
6	57	761
7	65	752
8	72	735
9	80	725
10	87	705
11	95	698
12	103	689
13	111	684
14	118	672
15	125	661
16	133	649
17	141	643
18	148	631
19	157	630
20	165	621
21	172	613
22	179	601
23	186	590
24	194	582
25	201	573
26	210	567
27	217	559
28	228	560
29	237	553
30	246	548
31	253	539
32	262	533
33	269	522
34	277	515
35	284	505
36	291	497
37	298	487
38	305	478
39	312	468
40	319	459
41	326	450
42	333	441
43	340	433
44	347	425
45	355	417
46	362	408
47	368	399
48	375	390
49	381	381
50	389	374
51	396	365
52	403	357
53	411	350
54	420	343
55	427	335
56	436	329
57	443	320
58	449	312
59	455	303
60	462	295
61	469	287
62	475	279
63	487	274
64	496	267
65	505	260
66	513	253
67	521	245
68	529	237
69	537	230
70	547	223
71	557	216
72	565	209
73	573	201
74	579	193
75	587	185
76	594	177
77	603	170
78	611	162
79	618	154
80	627	147
81	637	140
82	645	132
83	653	124
84	660	116
85	667	108
86	674	100
87	681	92
88	688	85
89	695	77
90	703	69
91	710	61
92	719	54
93	726	46
94	734	38
95	741	30
96	748	23
97	755	15
98	764	7
99	772	0
